,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
0,20151019,20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0
1,20151019,20:28:42,malay,male,thin,32.0,no,no_kids,big,yellow,casual,white,short_sleeve,blue_jeans,long,clothes,6,9,no,19.0,4.0,21.0,2.922506027,101.6431294,3.0
2,20151019,20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,18.0,2.0,13.0,2.93553339,101.7371698,1.0
3,20151019,21:31:28,indian,male,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0
4,20151019,21:40:28,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,yes,15.0,1.0,13.0,2.903529733,101.6612493,3.0
5,20151019,23:45:38,malay,male,fat,50.0,no,no_kids,big,orange,casual,brown,long sleeve,blue_jeans,long,clothes,4,8,no,35.0,5.0,16.0,2.928514231,101.72064,3.0
6,20151019,23:53:38,malay,female,fat,45.0,no,no_kids,big,pink,traditional,blue,short_sleeve,black,long,clothes,5,10,no,30.0,3.0,17.0,2.970783341,101.6744587,2.0
7,20151020,0:24:01,indian,male,thin,49.0,no,toddler,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,46.0,0.0,16.0,2.951176457,101.7465264,3.0
8,20151020,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,black,short_sleeve,black,short,clothes,6,10,no,60.0,4.0,17.0,2.955301618,101.7039608,2.0
9,20151020,1:17:50,chinese,female,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,blankets,5,7,no,23.0,0.0,10.0,2.9086064,101.6668225,3.0
10,20151020,3:07:16,malay,female,moderate,45.0,no,no_kids,big,red,casual,red,short_sleeve,grey,short,clothes,4,8,no,56.0,2.0,21.0,2.967033313,101.6523208,3.0
11,20151020,7:23:12,malay,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,black,long,blankets,4,8,yes,36.0,5.0,18.0,2.962150972,101.7110964,3.0
12,20151020,7:23:12,malay,female,moderate,40.0,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15.0,1.0,7.0,2.928768234,101.6912621,3.0
13,20151020,9:06:14,malay,male,moderate,32.0,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,15.0,2.0,7.0,2.941112411,101.7132003,1.0
14,20151020,10:05:17,malay,female,moderate,55.0,yes,young,big,red,traditional,brown,long sleeve,grey,long,clothes,3,8,yes,23.0,1.0,11.0,2.939276297,101.6442602,3.0
15,20151020,10:41:35,malay,male,thin,33.0,no,no_kids,big,brown,formal,green,long sleeve,brown,long,blankets,5,9,no,39.0,0.0,9.0,2.957245277,101.6766783,1.0
16,20151020,10:49:31,malay,female,thin,55.0,yes,toddler,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46.0,3.0,11.0,2.970509739,101.6621115,1.0
17,20151020,10:57:47,malay,male,fat,40.0,yes,toddler,big,orange,traditional,grey,long sleeve,grey,long,clothes,5,9,no,53.0,3.0,15.0,2.921546642,101.6680438,2.0
